,Model,max_depth,Feature Variables,Explained Variance Score,MAE,MSE,R2_score
DecisionTree: max_depth=4.00,DecisionTree,4,"['Mean_price_paid', 'Year']",0.26561391569533155,515.3974723665486,562183.1847725181,0.2656137459340454
DecisionTree: max_depth=5.00,DecisionTree,5,"['Mean_price_paid', 'Year']",0.2763742231311085,508.9268184904925,553946.0008617548,0.27637407246128876
DecisionTree: max_depth=6.00,DecisionTree,6,"['Mean_price_paid', 'Year']",0.2829900234394275,505.3946343438265,548881.4545311843,0.28298994662649724
DecisionTree: max_depth=7.00,DecisionTree,7,"['Mean_price_paid', 'Year']",0.28646965368769906,503.7338221863233,546217.6924869118,0.2864696491192139
DecisionTree: max_depth=8.00,DecisionTree,8,"['Mean_price_paid', 'Year']",0.283917158177201,503.742613864267,548171.6660327681,0.28391715137158746
DecisionTree: max_depth=9.00,DecisionTree,9,"['Mean_price_paid', 'Year']",0.27957290479993824,504.7100425428334,551497.3089156362,0.2795728264517682
DecisionTree: max_depth=10.00,DecisionTree,10,"['Mean_price_paid', 'Year']",0.27481346505634197,505.911344961458,555140.7605891195,0.27481334431349946
DecisionTree: max_depth=12.00,DecisionTree,12,"['Mean_price_paid', 'Year']",0.258547044585158,510.9248454590367,567592.9641045579,0.2585468899935076
DecisionTree: max_depth=15.00,DecisionTree,15,"['Mean_price_paid', 'Year']",0.21527242321877693,523.3997764904825,600720.4533895388,0.21527207597990206
DecisionTree: max_depth=20.00,DecisionTree,20,"['Mean_price_paid', 'Year']",0.10048821193824453,558.1736801442495,688589.6711260214,0.10048752281452655
