,Unnamed: 0,X,Y,LSOA code,Unnamed: 0.1,Local authority name,Local authority code,MSOA name,MSOA code,LSOA name,Total_number_of_domestic_electricity_meters,Total_domestic_electricity_consumption_kWh,Predicted_Electricity_Consumption_kWH,Mean_domestic_electricity_consumption_kWh_per_meter,Median_domestic_electricity_consumption_kWh_per_meter,Year,Ratio_Consumption_per_Meter,Mean_price_paid
57362,5494,340193.919,387124.126,E01006539,63735.0,Liverpool,E08000012,Liverpool 047,E02001393,Liverpool 047B,617.0,2755749.7,4450.248256943194,4466.369044,3834.5,2015.0,4466.369043760129,290632.14949
58559,2713,339791.993,386039.438,E01006683,65065.0,Liverpool,E08000012,Liverpool 053,E02001399,Liverpool 053D,603.0,2267505.8,3846.820182478377,3760.374461,3460.5,2015.0,3760.374461028192,225850.16523
58899,3578,338365.593,388894.028,E01006724,65443.0,Liverpool,E08000012,Liverpool 038,E02001384,Liverpool 038F,501.0,1744204.3,3476.9161162597566,3481.4457090000005,3082.7,2013.0,3481.4457085828344,113550.81845
59479,4527,342922.5,387329.316,E01006793,66087.0,Liverpool,E08000012,Liverpool 051,E02001397,Liverpool 051A,785.0,2706697.775,3319.4895502620266,3448.022643,2864.1,2017.0,3448.022643312102,179806.403845
58134,5567,335405.8,388092.317,E01006630,64593.0,Liverpool,E08000012,Liverpool 044,E02001390,Liverpool 044B,640.0,2137517.7,3153.9257834841032,3339.8714059999998,3032.5,2013.0,3339.871406250001,61587.21582175
59320,3218,341565.3370000001,389847.695,E01006774,65911.0,Liverpool,E08000012,Liverpool 036,E02001382,Liverpool 036E,552.0,2231294.1,3823.0124282245984,4042.199457,3648.9,2011.0,4042.199456521738,159797.1230175
292720,4289,335882.018,389404.219,E01033768,331305.0,Liverpool,E08000012,Liverpool 037,E02001383,Liverpool 037F,906.0,2380816.0,2990.294661806764,2628.0,1706.0,2014.0,2627.8322295805733,171583.5737175
58803,4532,338814.146,391333.708,E01006711,65336.0,Liverpool,E08000012,Liverpool 027,E02001373,Liverpool 027A,723.0,2197405.95,3085.1823849086372,3039.2890039999997,2614.1,2016.0,3039.289004149378,104012.87581575
292641,3014,338733.672,394360.135,E01033759,331217.0,Liverpool,E08000012,Liverpool 010,E02001356,Liverpool 010F,1151.0,3575794.65,3309.7934149787484,3106.685187,2502.5,2016.0,3106.685186794092,140706.63588
282519,4419,336886.49600000004,395517.603,E01032511,319781.0,Liverpool,E08000012,Liverpool 008,E02001354,Liverpool 008G,630.0,2291073.2,3615.9907963457863,3636.624126984127,3194.5,2010.0,3636.624126984127,99902.98611
59263,5155,337675.834,392550.103,E01006767,65847.0,Liverpool,E08000012,Liverpool 019,E02001365,Liverpool 019F,893.0,2692820.233,3024.121342608009,3015.476185,2655.8,2017.0,3015.476184770437,82989.01297425
59055,5539,340325.18100000004,385225.576,E01006742,65616.0,Liverpool,E08000012,Liverpool 057,E02001403,Liverpool 057B,584.0,1998927.3669999999,3236.741819058861,3422.8208329999998,2830.85,2016.0,3422.8208339041107,143345.228865
57242,3175,338296.727,387057.953,E01006526,63602.0,Liverpool,E08000012,Liverpool 048,E02001394,Liverpool 048C,643.0,2083166.5,3434.9556676086727,3239.761275,2537.2,2012.0,3239.761275272161,159711.9213525
58295,5201,337591.338,397070.495,E01006654,64772.0,Liverpool,E08000012,Liverpool 005,E02001351,Liverpool 005A,634.0,2254064.4,3545.6313411300284,3555.306625,2965.8,2012.0,3555.3066246056787,115079.96323499999
282517,4418,337817.63,395283.074,E01032510,319778.0,Liverpool,E08000012,Liverpool 008,E02001354,Liverpool 008F,964.0,3076253.7430000002,3223.149985190333,3191.134588,2640.7,2017.0,3191.1345881742736,146967.7990875
58849,4534,338977.196,391771.75,E01006718,65387.0,Liverpool,E08000012,Liverpool 027,E02001373,Liverpool 027E,705.0,2382903.733,3206.8842325164487,3380.005296000001,2816.4,2017.0,3380.0052950354607,119984.76890750001
58751,1889,335606.49700000003,394788.264,E01006705,65278.0,Liverpool,E08000012,Liverpool 009,E02001355,Liverpool 009E,799.0,2012526.167,2689.1997083717997,2518.806216,2221.8,2018.0,2518.806216520651,56211.1263735
59319,3218,341565.3370000001,389847.695,E01006774,65910.0,Liverpool,E08000012,Liverpool 036,E02001382,Liverpool 036E,553.0,2229806.7,3830.0086580312836,4032.200180831827,3665.1,2010.0,4032.200180831827,162553.12604
57377,2268,336904.57200000004,393734.724,E01006541,63752.0,Liverpool,E08000012,Liverpool 015,E02001361,Liverpool 015A,809.0,2352046.4,3203.981839752602,2907.350309,2479.8,2012.0,2907.350309023486,66476.04166675
57955,3624,335883.661,394593.593,E01006610,64394.0,Liverpool,E08000012,Liverpool 009,E02001355,Liverpool 009C,730.0,2346261.0,3014.881166886749,3214.0,2792.0,2014.0,3214.056164383561,58077.13915575
57471,5071,338058.508,388285.691,E01006551,63856.0,Liverpool,E08000012,Liverpool 048,E02001394,Liverpool 048E,879.0,2599209.3,3090.6137671321426,2957.007167,1926.0,2016.0,2957.007167235495,173698.6263725
58019,3614,339384.321,393075.674,E01006617,64465.0,Liverpool,E08000012,Liverpool 021,E02001367,Liverpool 021A,652.0,2212343.4,3436.171477407487,3393.164724,2919.7,2015.0,3393.16472392638,148756.473215
