,Unnamed: 0,X,Y,LSOA code,Unnamed: 0.1,Local authority name,Local authority code,MSOA name,MSOA code,LSOA name,Total_number_of_domestic_electricity_meters,Total_domestic_electricity_consumption_kWh,Predicted_Electricity_Consumption_kWH,Mean_domestic_electricity_consumption_kWh_per_meter,Median_domestic_electricity_consumption_kWh_per_meter,Year,Ratio_Consumption_per_Meter,Mean_price_paid
297495,33761,187924.848,220570.653,W01000556,399360.0,Pembrokeshire,W06000009,Pembrokeshire 008,W02000133,Pembrokeshire 008B,630.0,2669919.0,4498.806049620946,4237.966666666666,3449.9,2010.0,4237.966666666666,204493.4749975
297511,33762,205147.506,203425.542,W01000557,399377.0,Pembrokeshire,W06000009,Pembrokeshire 014,W02000139,Pembrokeshire 014A,657.0,2707342.3,4146.357332443481,4120.764536,3270.4,2017.0,4120.764535768645,186918.9693
297660,33388,195430.709,199833.773,W01000574,399543.0,Pembrokeshire,W06000009,Pembrokeshire 015,W02000140,Pembrokeshire 015A,886.0,4024560.4,4679.942790503482,4542.393228,3589.95,2013.0,4542.39322799097,199068.5699375
297920,33017,196476.381,203251.441,W01000603,399832.0,Pembrokeshire,W06000009,Pembrokeshire 013,W02000138,Pembrokeshire 013D,869.0,3361685.8,3592.1197290618834,3868.453165,3256.5,2012.0,3868.4531645569623,116985.692775
297953,33008,197430.164,201427.948,W01000606,399868.0,Pembrokeshire,W06000009,Pembrokeshire 015,W02000140,Pembrokeshire 015B,748.0,2420338.6,3072.022570446944,3235.746791,2771.3,2018.0,3235.7467914438507,134537.29166575
297610,34480,195215.627,215517.384,W01000568,399487.0,Pembrokeshire,W06000009,Pembrokeshire 005,W02000130,Pembrokeshire 005A,1364.0,4250179.033,3365.6902840987664,3115.967033,2406.05,2017.0,3115.9670329912024,139613.78623250002
297639,33390,195873.638,216401.264,W01000572,399520.0,Pembrokeshire,W06000009,Pembrokeshire 005,W02000130,Pembrokeshire 005D,814.0,3095714.45,3698.25724879387,3803.0890049140053,3134.35,2010.0,3803.0890049140053,160137.55969999998
297720,32958,184547.026,231346.61,W01000581,399610.0,Pembrokeshire,W06000009,Pembrokeshire 003,W02000128,Pembrokeshire 003B,822.0,3794697.85,4849.665671516259,4616.420742092458,3638.25,2010.0,4616.420742092458,216164.49096
297658,33388,195430.709,199833.773,W01000574,399541.0,Pembrokeshire,W06000009,Pembrokeshire 015,W02000140,Pembrokeshire 015A,878.0,4294671.0,4778.107717258741,4891.424829,3822.7,2011.0,4891.424829157176,179961.7977
297847,34276,210965.788,214756.745,W01000595,399751.0,Pembrokeshire,W06000009,Pembrokeshire 007,W02000132,Pembrokeshire 007C,1070.0,4063347.1,4063.225438767331,3797.520654,3032.95,2011.0,3797.520654205608,155886.8440475
