,Unnamed: 0,X,Y,LSOA code,Unnamed: 0.1,Local authority name,Local authority code,MSOA name,MSOA code,LSOA name,Total_number_of_domestic_electricity_meters,Total_domestic_electricity_consumption_kWh,Predicted_Electricity_Consumption_kWH,Mean_domestic_electricity_consumption_kWh_per_meter,Median_domestic_electricity_consumption_kWh_per_meter,Year,Ratio_Consumption_per_Meter,Mean_price_paid
302436,33827,317457.997,170379.108,W01001115,404850.0,Vale of Glamorgan,W06000014,The Vale of Glamorgan 008,W02000244,The Vale of Glamorgan 008B,885.0,3686141.5,4218.462609676619,4165.131638418079,3483.45,2010.0,4165.131638418079,304293.9258675
304271,33983,308955.519,196697.572,W01001320,406888.0,Merthyr Tydfil,W06000024,Merthyr Tydfil 007,W02000289,Merthyr Tydfil 007C,676.0,2054988.4,3172.398561203384,3039.9236690000002,2682.5,2018.0,3039.9236686390527,144496.66947999998
299745,34675,266615.525,198297.062,W01000813,401860.0,Swansea,W06000011,Swansea 008,W02000175,Swansea 008D,722.0,2616813.5,3510.490096745168,3624.395429362881,3155.8,2010.0,3624.395429362881,130904.05844000001
302840,33210,306093.84,184233.204,W01001159,405298.0,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf 028,W02000279,Rhondda Cynon Taf 028C,666.0,2147035.7430000002,3323.3026232660027,3223.777392,2686.85,2018.0,3223.7773918918915,175155.2341725
302220,34556,310201.402,169516.233,W01001091,404610.0,Vale of Glamorgan,W06000014,The Vale of Glamorgan 010,W02000246,The Vale of Glamorgan 010A,736.0,2903366.7,3872.1343474609444,3944.7917119565222,3319.35,2010.0,3944.7917119565222,177797.1951325
306867,33917,333242.789,189527.876,W01001614,409773.0,Newport,W06000022,Newport 005,W02000351,Newport 005A,769.0,2203067.5,3025.7902807638143,2864.8472039999997,2416.3,2013.0,2864.8472041612486,87585.38961025
300817,34018,278423.219,187231.113,W01000932,403051.0,Neath Port Talbot,W06000012,Neath Port Talbot 019,W02000217,Neath Port Talbot 019A,512.0,1607178.4,3386.5242205595546,3139.020313,2752.05,2011.0,3139.0203125,99745.486111
295441,33749,326996.49600000004,360165.1970000001,W01000309,397077.0,Flintshire,W06000005,Flintshire 019,W02000076,Flintshire 019C,942.0,3502764.068,3349.6626817899987,3718.433193,3030.45,2017.0,3718.433193205945,142606.4516125
304857,34716,315664.218,197784.722,W01001387,407540.0,Caerphilly,W06000018,Caerphilly 007,W02000296,Caerphilly 007C,567.0,1851811.2,3588.521676230411,3265.980952380952,2853.7,2010.0,3265.980952380952,118009.3614725
302845,33499,298571.335,183175.53,W01001160,405304.0,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf 029,W02000280,Rhondda Cynon Taf 029A,703.0,2645556.0,3625.2811271634528,3763.0,3213.0,2014.0,3763.2375533428167,133207.61465250002
299151,34130,265417.905,194080.15,W01000744,401200.0,Swansea,W06000011,Swansea 016,W02000183,Swansea 016B,814.0,2120606.3,2676.500521585167,2605.167444717445,2266.0,2010.0,2605.167444717445,71821.18298375
301772,33665,296413.07,182312.033,W01001040,404112.0,Bridgend,W06000013,Bridgend 009,W02000226,Bridgend 009F,643.0,2497392.1,3900.470721240001,3883.9690509999996,3422.3,2012.0,3883.969051321928,190028.125
305862,33104,327925.913,194441.22,W01001498,408656.0,Torfaen,W06000020,Torfaen 011,W02000333,Torfaen 011B,508.0,1692091.5,3249.7730662100034,3330.88878,2953.15,2016.0,3330.888779527559,93329.5608975
309162,34500,320811.507,177313.39399999997,W01001876,412323.0,Cardiff,W06000015,Cardiff 037,W02000403,Cardiff 037D,695.0,2266091.7,3147.2622500260036,3260.563597,2843.1,2013.0,3260.5635971223023,103112.5
304168,34140,305730.82,207938.689,W01001309,406774.0,Merthyr Tydfil,W06000024,Merthyr Tydfil 008,W02000415,Merthyr Tydfil 008E,535.0,1869400.0,3374.3935671046515,3494.0,3263.0,2014.0,3494.2056074766356,106105.7236845
304125,33515,307118.378,200433.85,W01001304,406726.0,Merthyr Tydfil,W06000024,Merthyr Tydfil 006,W02000288,Merthyr Tydfil 006D,639.0,1973447.2,2970.3437334625005,3088.336776,2822.2,2016.0,3088.3367762128332,89510.94486525
307525,33327,329699.027,184827.958,W01001688,410504.0,Newport,W06000022,Newport 019,W02000365,Newport 019C,1117.0,3528785.0,3426.798309518699,3159.0,2807.0,2014.0,3159.1629364368846,137723.03718749998
297181,34274,258139.076,281461.646,W01000517,399011.0,Ceredigion,W06000008,Ceredigion 002,W02000117,Ceredigion 002D,564.0,2373514.8,4286.099304198738,4208.359575,3270.65,2011.0,4208.359574468085,184804.0674625
306972,33123,332849.752,191252.491,W01001626,409890.0,Newport,W06000022,Newport 001,W02000347,Newport 001D,621.0,2429467.5,3524.1874490970526,3912.185990338164,3221.5,2010.0,3912.185990338164,130548.526785
295485,33574,323570.859,363778.215,W01000314,397126.0,Flintshire,W06000005,Flintshire 016,W02000073,Flintshire 016B,639.0,2170188.6,3651.1210458500027,3396.2262909999995,2709.2,2016.0,3396.226291079812,147895.7673075
302662,34344,300804.291,200056.061,W01001140,405101.0,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf 005,W02000256,Rhondda Cynon Taf 005D,699.0,2225059.9,3077.5853389049416,3183.204435,2854.5,2011.0,3183.2044349070093,64269.15674625
293588,34429,261230.47,339612.60799999995,W01000100,395018.0,Gwynedd,W06000002,Gwynedd 010,W02000019,Gwynedd 010B,563.0,2351173.3,4793.74776012,4176.1515100000015,3213.1,2018.0,4176.1515097690935,173329.42307750002
293269,34439,270349.245,345732.93700000003,W01000065,394664.0,Gwynedd,W06000002,Gwynedd 009,W02000018,Gwynedd 009B,639.0,2030651.0,3542.617592530001,3178.0,2481.0,2014.0,3177.8575899843504,69064.81092424999
298689,34331,255232.515,200930.034,W01000691,400686.0,Carmarthenshire,W06000010,Carmarthenshire 019,W02000160,Carmarthenshire 019B,785.0,2621459.6,3318.4792983049997,3339.438981,2887.3,2016.0,3339.43898089172,148143.921875
298259,34576,242435.16,221280.535,W01000640,400208.0,Carmarthenshire,W06000010,Carmarthenshire 007,W02000148,Carmarthenshire 007D,565.0,1954897.6,3966.379944351654,3459.995752000001,2941.1,2018.0,3459.9957522123896,204265.14358750003
299260,32999,263067.396,195307.274,W01000757,401321.0,Swansea,W06000011,Swansea 017,W02000184,Swansea 017C,743.0,2400707.0,3285.4343544556473,3231.099596,2834.6,2011.0,3231.099596231494,110872.6577375
303912,34629,302509.444,192867.045,W01001281,406490.0,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf 017,W02000268,Rhondda Cynon Taf 017F,809.0,2843868.1,3339.2533030945447,3515.2881334981457,2954.45,2010.0,3515.2881334981457,68216.72979775001
301235,33278,292559.73600000003,180116.655,W01000979,403515.0,Bridgend,W06000013,Bridgend 015,W02000232,Bridgend 015A,745.0,2525643.1,3302.549115200704,3390.124966,2987.7,2015.0,3390.124966442953,129390.429895
303956,34622,299176.596,194825.692,W01001285,406538.0,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf 014,W02000265,Rhondda Cynon Taf 014D,654.0,1963500.7759999998,2884.4785139299997,3002.2947649999996,2607.35,2018.0,3002.294764525994,95609.5036765
306249,32849,327313.946,200670.195,W01001541,409086.0,Torfaen,W06000020,Torfaen 004,W02000326,Torfaen 004F,470.0,1832314.35,3445.0278613499995,3898.5411700000004,3103.15,2016.0,3898.5411702127667,142540.84595999998
304762,33837,312052.982,206757.23,W01001376,407434.0,Caerphilly,W06000018,Caerphilly 001,W02000290,Caerphilly 001C,680.0,2066699.0,3125.578880552067,3039.0,2680.0,2014.0,3039.263235294117,20791.66666675
294165,33721,277737.706,381459.653,W01000168,395660.0,Conwy,W06000003,Conwy 002,W02000028,Conwy 002B,813.0,3022964.4,4386.6652769735765,3718.2833948339476,3185.3,2010.0,3718.2833948339476,126633.14394
308560,34124,322006.054,181383.19600000003,W01001808,411654.0,Cardiff,W06000015,Cardiff 007,W02000373,Cardiff 007C,659.0,2374971.0,3561.5336691366656,3604.0,3264.0,2014.0,3603.9013657056153,95257.71929825
301173,33276,270972.568,202634.13,W01000971,403446.0,Neath Port Talbot,W06000012,Neath Port Talbot 004,W02000202,Neath Port Talbot 004G,630.0,2311820.9,3306.266029880418,3669.5569840000003,3130.5,2016.0,3669.5569841269844,133642.4479175
304054,33990,306681.63,209074.107,W01001296,406647.0,Merthyr Tydfil,W06000024,Merthyr Tydfil 002,W02000284,Merthyr Tydfil 002B,686.0,2386954.3,3332.4370436800014,3479.5252189999997,3122.75,2017.0,3479.5252186588923,130772.036715
301175,33276,270972.568,202634.13,W01000971,403448.0,Neath Port Talbot,W06000012,Neath Port Talbot 004,W02000202,Neath Port Talbot 004G,626.0,2215606.4,3208.5224256243773,3539.307348,3041.0,2018.0,3539.3073482428113,144864.9553575
309700,34291,259884.515,281891.702,W01001936,412921.0,Ceredigion,W06000008,Ceredigion 003,W02000118,Ceredigion 003F,438.0,2413025.6,4902.196914967561,5509.190868,3919.2,2011.0,5509.190867579909,218447.55609
296745,32977,310094.206,306226.05600000004,W01000460,398526.0,Powys,W06000023,Powys 006,W02000102,Powys 006B,728.0,3798227.9,4922.6526754499955,5217.346017,4093.5,2016.0,5217.346016483516,179494.43154249995
