,Unnamed: 0,X,Y,LSOA code,Unnamed: 0.1,Local authority name,Local authority code,MSOA name,MSOA code,LSOA name,Total_number_of_domestic_electricity_meters,Total_domestic_electricity_consumption_kWh,Predicted_Electricity_Consumption_kWH,Mean_domestic_electricity_consumption_kWh_per_meter,Median_domestic_electricity_consumption_kWh_per_meter,Year,Ratio_Consumption_per_Meter,Mean_price_paid
298930,33427,271303.328,214298.937,W01000718,400954.0,Carmarthenshire,W06000010,Carmarthenshire 010,W02000151,Carmarthenshire 010D,676.0,2354054.0,3488.20454041659,3482.0,3080.0,2014.0,3482.328402366864,82854.06250025
293185,33725,248259.273,360024.172,W01000054,394571.0,Gwynedd,W06000002,Gwynedd 007,W02000016,Gwynedd 007A,472.0,2102392.5,4300.669498270838,4454.221398,3719.45,2011.0,4454.221398305085,122695.83333499999
297480,33763,197539.044,207990.376,W01000554,399343.0,Pembrokeshire,W06000009,Pembrokeshire 009,W02000134,Pembrokeshire 009A,790.0,3968741.3,4986.493129521049,5023.7231649999985,4311.25,2013.0,5023.723164556963,213883.1708325
293850,33139,277455.079,377006.979,W01000131,395310.0,Conwy,W06000003,Conwy 012,W02000038,Conwy 012D,640.0,2406385.9,3896.0555577061896,3759.97796875,3273.9,2010.0,3759.97796875,146431.1098525
293858,33139,277455.079,377006.979,W01000131,395318.0,Conwy,W06000003,Conwy 012,W02000038,Conwy 012D,678.0,2045810.7,3161.98950158,3017.419912000001,2696.2,2018.0,3017.4199115044253,213943.4425725
294179,33722,278102.617,381991.107,W01000169,395675.0,Conwy,W06000003,Conwy 001,W02000027,Conwy 001D,1002.0,3344453.738,3460.524738128577,3337.7781809999997,2301.1,2015.0,3337.7781816367265,155560.02976
293623,34422,247078.29100000003,353161.88,W01000104,395057.0,Gwynedd,W06000002,Gwynedd 008,W02000017,Gwynedd 008C,874.0,3057817.0,3734.6973486425,3498.646453000001,2807.25,2017.0,3498.646453089245,110875.56818325
294211,33556,281390.658,381196.005,W01000173,395711.0,Conwy,W06000003,Conwy 003,W02000029,Conwy 003B,701.0,2851320.1,3966.679430338328,4067.5037090000014,3194.0,2011.0,4067.503708987161,135308.02662000002
298589,33022,262387.195,214463.187,W01000680,400575.0,Carmarthenshire,W06000010,Carmarthenshire 011,W02000152,Carmarthenshire 011A,900.0,3888123.6,3993.2215140542025,4320.137333,3432.05,2015.0,4320.137333333333,154332.90019
293907,33133,280473.463,369272.564,W01000137,395373.0,Conwy,W06000003,Conwy 015,W02000041,Conwy 015C,655.0,3758261.0,5731.498692711596,5737.803053000002,4361.8,2013.0,5737.803053435115,199751.1890625
298241,33492,241888.931,220802.158,W01000638,400188.0,Carmarthenshire,W06000010,Carmarthenshire 007,W02000148,Carmarthenshire 007B,520.0,1684259.1,3293.183379552498,3238.9598079999996,2825.3,2018.0,3238.9598076923075,114833.92857075
296851,34299,322344.792,296769.862,W01000476,398644.0,Powys,W06000023,Powys 005,W02000101,Powys 005C,637.0,3592140.0,5267.8875348376505,5639.0,4115.0,2014.0,5639.152276295135,231517.5306325
297067,32955,299329.269,231466.04,W01000503,398884.0,Powys,W06000023,Powys 020,W02000414,Powys 020C,443.0,2537100.0,5605.527966551465,5727.0,4286.0,2014.0,5727.088036117381,245364.4683425
298188,33489,244801.301,200738.782,W01000633,400130.0,Carmarthenshire,W06000010,Carmarthenshire 021,W02000162,Carmarthenshire 021B,781.0,2164890.5,3165.5119627711433,2771.946862996159,2195.9,2010.0,2771.946862996159,120352.8787875
297803,34286,189608.105,205679.265,W01000590,399702.0,Pembrokeshire,W06000009,Pembrokeshire 012,W02000137,Pembrokeshire 012B,621.0,2037000.0,3492.9565897066627,3280.193237,2926.1,2012.0,3280.193236714976,140699.40476250002
298039,34319,213336.547,205038.929,W01000616,399964.0,Pembrokeshire,W06000009,Pembrokeshire 011,W02000136,Pembrokeshire 011F,854.0,3036214.0,3463.6176024799993,3555.0,2424.0,2014.0,3555.285714285714,257685.4699075
298351,33818,252776.135,201214.016,W01000651,400311.0,Carmarthenshire,W06000010,Carmarthenshire 020,W02000161,Carmarthenshire 020A,722.0,2337697.5,3299.478399483859,3237.808172,2804.55,2011.0,3237.8081717451532,96496.392496
294165,33721,277737.706,381459.653,W01000168,395660.0,Conwy,W06000003,Conwy 002,W02000028,Conwy 002B,813.0,3022964.4,3855.1625078337793,3718.2833948339476,3185.3,2010.0,3718.2833948339476,126633.14394
297490,33764,191727.904,219168.141,W01000555,399354.0,Pembrokeshire,W06000009,Pembrokeshire 008,W02000133,Pembrokeshire 008A,611.0,2802631.0,4811.686385139504,4587.0,3744.0,2014.0,4586.95744680851,249726.73611
309593,32966,251430.589,198927.456,W01001924,412802.0,Carmarthenshire,W06000010,Carmarthenshire 026,W02000167,Carmarthenshire 026H,665.0,1866385.3,2762.942547384645,2806.594436,2455.9,2012.0,2806.594436090226,52066.80803575
298018,34323,183385.853,207342.556,W01000614,399941.0,Pembrokeshire,W06000009,Pembrokeshire 008,W02000133,Pembrokeshire 008D,774.0,3466874.8,4284.278050027226,4479.166408,3608.2,2011.0,4479.166408268734,157255.833335
293658,34432,237467.793,335207.29,W01000108,395096.0,Gwynedd,W06000002,Gwynedd 012,W02000021,Gwynedd 012D,1187.0,4009260.2,4473.599843576779,3377.641281,2650.8,2016.0,3377.6412805391747,147851.66257999995
297324,34092,260231.986,251880.249,W01000537,399170.0,Ceredigion,W06000008,Ceredigion 008,W02000123,Ceredigion 008D,638.0,3466376.9,5426.620090206082,5433.192633228839,4364.85,2010.0,5433.192633228839,174065.634675
298444,34531,247971.722,208282.306,W01000662,400414.0,Carmarthenshire,W06000010,Carmarthenshire 016,W02000157,Carmarthenshire 016A,994.0,3608476.0,4182.7283373765,3630.0,2943.0,2014.0,3630.2575452716296,163799.9736425
309700,34291,259884.515,281891.702,W01001936,412921.0,Ceredigion,W06000008,Ceredigion 003,W02000118,Ceredigion 003F,438.0,2413025.6,4927.506582367185,5509.190868,3919.2,2011.0,5509.190867579909,218447.55609
293722,33333,260470.643,367730.83700000006,W01000115,395167.0,Gwynedd,W06000002,Gwynedd 003,W02000012,Gwynedd 003E,930.0,4063469.35,4258.04089827,4369.321882,3563.55,2017.0,4369.321881720431,195996.8267025
296497,33963,313164.614,237739.516,W01000430,398251.0,Powys,W06000023,Powys 015,W02000111,Powys 015A,589.0,2911139.7,4982.273013571404,4942.512224,3595.9,2011.0,4942.512224108659,195620.753205
298629,33012,244535.747,235772.607,W01000685,400620.0,Carmarthenshire,W06000010,Carmarthenshire 001,W02000142,Carmarthenshire 001A,677.0,3136245.0,4419.745487522058,4632.562776957164,3612.3,2010.0,4632.562776957164,144735.4166675
298192,33489,244801.301,200738.782,W01000633,400134.0,Carmarthenshire,W06000010,Carmarthenshire 021,W02000162,Carmarthenshire 021B,782.0,2127678.0,3036.10996964884,2721.0,2357.0,2014.0,2720.815856777493,93570.73135575
298021,34323,183385.853,207342.556,W01000614,399944.0,Pembrokeshire,W06000009,Pembrokeshire 008,W02000133,Pembrokeshire 008D,781.0,3510148.0,4506.551450562027,4494.0,3415.0,2014.0,4494.427656850192,219611.721615
293686,33341,248302.171,362333.539,W01000111,395127.0,Gwynedd,W06000002,Gwynedd 007,W02000016,Gwynedd 007C,823.0,2511709.985,3619.2432702300007,3051.895486,2479.1,2017.0,3051.895486026732,127224.305555
293150,33728,260510.294,370546.222,W01000050,394532.0,Gwynedd,W06000002,Gwynedd 003,W02000012,Gwynedd 003A,596.0,2917493.8,4861.216941051318,4895.123826,3717.65,2012.0,4895.123825503355,191593.75
298087,33657,212660.963,200588.579,W01000621,400017.0,Pembrokeshire,W06000009,Pembrokeshire 016,W02000141,Pembrokeshire 016D,926.0,3039576.778,3267.3797296899993,3282.480322,2322.6,2017.0,3282.4803218142547,221002.1968425
298988,34311,258919.986,211471.485,W01000724,401018.0,Carmarthenshire,W06000010,Carmarthenshire 011,W02000152,Carmarthenshire 011C,807.0,3371606.3,3669.007856190001,4177.950806,3342.5,2018.0,4177.950805452292,130498.25359
298545,33433,251103.324,216643.617,W01000675,400526.0,Carmarthenshire,W06000010,Carmarthenshire 012,W02000153,Carmarthenshire 012A,874.0,4471391.1,4793.130638232501,5116.008124,3879.1,2016.0,5116.0081235697935,240574.40476
296807,34306,289075.521,247002.146,W01000471,398595.0,Powys,W06000023,Powys 014,W02000110,Powys 014E,865.0,4155870.4,4858.810720616359,4804.474451,3433.0,2015.0,4804.474450867052,171830.96880250002
296772,32976,315254.76300000004,219673.972,W01000465,398556.0,Powys,W06000023,Powys 018,W02000114,Powys 018E,468.0,2408995.9,4981.184287992955,5147.427137,3708.45,2016.0,5147.427136752137,301692.326945
299018,34317,229036.066,224817.461,W01000728,401052.0,Carmarthenshire,W06000010,Carmarthenshire 003,W02000144,Carmarthenshire 003D,790.0,4170135.7,5127.731724028065,5278.652785,4148.0,2012.0,5278.652784810127,186582.459365
293138,33939,260780.884,316467.474,W01000048,394518.0,Gwynedd,W06000002,Gwynedd 016,W02000025,Gwynedd 016A,740.0,3174222.117,4260.556152370001,4289.489347,2982.85,2018.0,4289.489347297297,189686.8858175
296808,34306,289075.521,247002.146,W01000471,398596.0,Powys,W06000023,Powys 014,W02000110,Powys 014E,868.0,4172398.05,4589.384338142304,4806.910196,3329.0,2016.0,4806.910195852534,180881.5740725
294279,34728,284472.199,378142.719,W01000180,395786.0,Conwy,W06000003,Conwy 008,W02000034,Conwy 008C,569.0,2737032.9,5038.373957054797,4810.251142,4081.7,2016.0,4810.2511423550095,341314.595515
296673,34494,296889.678,307505.663,W01000452,398446.0,Powys,W06000023,Powys 004,W02000100,Powys 004B,877.0,4436165.9,4548.368177243177,5058.341961,3850.8,2016.0,5058.341961231471,171258.10517
296504,33963,313164.614,237739.516,W01000430,398258.0,Powys,W06000023,Powys 015,W02000111,Powys 015A,661.0,3106149.933,4870.105569299999,4699.167827,3172.6,2018.0,4699.16782602118,258363.58961750002
298973,34314,236942.86,210177.237,W01000723,401002.0,Carmarthenshire,W06000010,Carmarthenshire 012,W02000153,Carmarthenshire 012E,689.0,3350312.3,4762.881054317185,4862.572279,3601.4,2012.0,4862.572278664731,172282.486265
298429,33820,250980.996,199149.265,W01000659,400397.0,Carmarthenshire,W06000010,Carmarthenshire 026,W02000167,Carmarthenshire 026A,807.0,2309328.6,2835.9229523271338,2861.621561,2508.3,2017.0,2861.6215613382897,128509.219155
296918,33780,309817.289,290545.23600000003,W01000483,398718.0,Powys,W06000023,Powys 009,W02000105,Powys 009C,831.0,2626541.9,3170.638600110002,3160.700241,2768.5,2018.0,3160.7002406738866,120327.651515
293531,34241,228555.837,340165.016,W01000094,394955.0,Gwynedd,W06000002,Gwynedd 012,W02000021,Gwynedd 012B,849.0,3943270.0,4586.329012146979,4644.605418,3571.2,2015.0,4644.605418138987,205034.4611525
297144,34279,259023.491,281718.18,W01000512,398970.0,Ceredigion,W06000008,Ceredigion 002,W02000117,Ceredigion 002A,638.0,2966623.7,4856.690447476542,4649.880407523511,3274.85,2010.0,4649.880407523511,204155.4329
293343,33352,247407.907,355806.7979999999,W01000073,394746.0,Gwynedd,W06000002,Gwynedd 008,W02000017,Gwynedd 008A,809.0,3563248.1,4587.488400690005,4404.509394,3558.0,2016.0,4404.509394313968,185048.26577
297900,33021,197616.912,203222.439,W01000601,399810.0,Pembrokeshire,W06000009,Pembrokeshire 013,W02000138,Pembrokeshire 013B,602.0,2055553.8,3421.110757534451,3414.541196013289,2988.45,2010.0,3414.541196013289,0.0
298440,34531,247971.722,208282.306,W01000662,400410.0,Carmarthenshire,W06000010,Carmarthenshire 016,W02000157,Carmarthenshire 016A,978.0,3733605.8,4226.863109325848,3817.5928425357865,3101.7,2010.0,3817.5928425357865,146288.0728875
298052,34321,194271.317,234292.006,W01000617,399978.0,Pembrokeshire,W06000009,Pembrokeshire 002,W02000127,Pembrokeshire 002F,705.0,3351916.133,4513.908342899998,4754.4909689999995,3507.6,2018.0,4754.490968794326,189091.574755
294070,32902,283975.099,380175.562,W01000155,395554.0,Conwy,W06000003,Conwy 004,W02000030,Conwy 004A,754.0,2678586.0,3517.26122791,3553.0,2855.0,2014.0,3552.501326259947,228764.9529675
293314,33353,234375.798,336298.227,W01000070,394714.0,Gwynedd,W06000002,Gwynedd 012,W02000021,Gwynedd 012A,614.0,3143576.0,4626.6604286607935,5120.0,4154.0,2014.0,5119.830618892508,193583.75919
297151,34279,259023.491,281718.18,W01000512,398977.0,Ceredigion,W06000008,Ceredigion 002,W02000117,Ceredigion 002A,659.0,2098257.0,3587.380734120002,3184.001518,2248.7,2017.0,3184.001517450683,221586.68730500003
297248,33600,257941.766,248204.934,W01000527,399085.0,Ceredigion,W06000008,Ceredigion 008,W02000123,Ceredigion 008A,504.0,1854980.26,3924.349416851055,3680.516389,2768.2,2015.0,3680.516388888889,135157.24042000002
293685,33341,248302.171,362333.539,W01000111,395126.0,Gwynedd,W06000002,Gwynedd 007,W02000016,Gwynedd 007C,827.0,2649487.75,3606.45356862,3203.733676000001,2578.5,2016.0,3203.733675937123,117706.66260999998
