,Model,max_depth,Feature Variables,Explained Variance Score,MAE,MSE,R2_score
RandomForest: max_depth=5.00,RandomForest,5,"['Mean_price_paid', 'Year', 'X', 'Y']",0.8469063449836933,210.235429316878,73087.97110732025,0.846502542493572
RandomForest: max_depth=6.00,RandomForest,6,"['Mean_price_paid', 'Year', 'X', 'Y']",0.8744422199912946,189.10180650856248,59824.496000865234,0.8743581482204182
RandomForest: max_depth=7.00,RandomForest,7,"['Mean_price_paid', 'Year', 'X', 'Y']",0.8986489507212655,170.8351235513118,48260.48198986802,0.8986445899202481
RandomForest: max_depth=8.00,RandomForest,8,"['Mean_price_paid', 'Year', 'X', 'Y']",0.9138531893912618,156.4354261577621,41044.58321366091,0.9137992330029674
RandomForest: max_depth=9.00,RandomForest,9,"['Mean_price_paid', 'Year', 'X', 'Y']",0.9191804710887876,151.59100128650806,38538.44365019766,0.919062562184496
RandomForest: max_depth=10.00,RandomForest,10,"['Mean_price_paid', 'Year', 'X', 'Y']",0.9257933619951024,143.99933338463413,35438.650387079004,0.9255726674381444
RandomForest: max_depth=11.00,RandomForest,11,"['Mean_price_paid', 'Year', 'X', 'Y']",0.9286679944788973,139.94649342758362,34131.26380249593,0.9283184067666701
RandomForest: max_depth=12.00,RandomForest,12,"['Mean_price_paid', 'Year', 'X', 'Y']",0.9276127841429722,141.2001289840313,34637.51070788471,0.9272552001723378
RandomForest: max_depth=13.00,RandomForest,13,"['Mean_price_paid', 'Year', 'X', 'Y']",0.9293829804257608,141.25236172598784,33782.652584640586,0.9290505509866873
RandomForest: max_depth=14.00,RandomForest,14,"['Mean_price_paid', 'Year', 'X', 'Y']",0.9307291252518181,138.66156646394677,33112.14030185956,0.9304587434576835
RandomForest: max_depth=15.00,RandomForest,15,"['Mean_price_paid', 'Year', 'X', 'Y']",0.9290464871104562,139.68100548461587,33935.00763884718,0.928730578861252
RandomForest: max_depth=16.00,RandomForest,16,"['Mean_price_paid', 'Year', 'X', 'Y']",0.9310881359367983,138.36360866648812,32973.60675399499,0.9307496880146933
RandomForest: max_depth=17.00,RandomForest,17,"['Mean_price_paid', 'Year', 'X', 'Y']",0.9298673078603635,139.6000680291465,33548.43593956725,0.9295424466978386
RandomForest: max_depth=18.00,RandomForest,18,"['Mean_price_paid', 'Year', 'X', 'Y']",0.9294533690427274,140.17487413184807,33742.48879356205,0.9291349019369323
RandomForest: max_depth=19.00,RandomForest,19,"['Mean_price_paid', 'Year', 'X', 'Y']",0.929916843371938,139.87323998598498,33516.16085824408,0.9296102299848674
RandomForest: max_depth=20.00,RandomForest,20,"['Mean_price_paid', 'Year', 'X', 'Y']",0.9299405527848865,139.81395378449412,33502.83511839894,0.9296382163573803
