,Model,N_Neighbors,Feature Variables,Explained Variance Score,MAE,MSE,R2_score
kNN: n_neighbours=3.00,kNN,3,"['Mean_price_paid', 'Year']",-0.0033305682004753923,614.889619351086,768100.1487891269,-0.0033779136332574566
kNN: n_neighbours=4.00,kNN,4,"['Mean_price_paid', 'Year']",0.057852216732735995,595.9270328772195,721257.1103418329,0.05781367741067578
kNN: n_neighbours=5.00,kNN,5,"['Mean_price_paid', 'Year']",0.0906431141616072,585.1574292107329,696149.9925357349,0.09061138942953262
kNN: n_neighbours=6.00,kNN,6,"['Mean_price_paid', 'Year']",0.1094511176945554,579.3026350460736,681764.2799680581,0.10940360849762976
kNN: n_neighbours=7.00,kNN,7,"['Mean_price_paid', 'Year']",0.1242966931472711,574.2241041443987,670388.1074690007,0.12426443132813025
kNN: n_neighbours=8.00,kNN,8,"['Mean_price_paid', 'Year']",0.1350706456090317,570.7818753458963,662138.9805435507,0.1350403591505661
kNN: n_neighbours=9.00,kNN,9,"['Mean_price_paid', 'Year']",0.1429569415765004,568.2322746728277,656095.5545776353,0.14293495485717644
kNN: n_neighbours=10.00,kNN,10,"['Mean_price_paid', 'Year']",0.14886071453962013,566.851963701417,651570.9790224622,0.1488454590899675
kNN: n_neighbours=11.00,kNN,11,"['Mean_price_paid', 'Year']",0.15434175025668573,565.0891912361055,647370.7867757499,0.15433221773727213
kNN: n_neighbours=12.00,kNN,12,"['Mean_price_paid', 'Year']",0.15799132331001897,564.1609963967232,644574.7931979625,0.15798465577811227
kNN: n_neighbours=13.00,kNN,13,"['Mean_price_paid', 'Year']",0.1602781918066265,563.4705341839214,642822.6694980462,0.16027347478852494
kNN: n_neighbours=14.00,kNN,14,"['Mean_price_paid', 'Year']",0.16363783926692588,562.5101025211247,640250.0783854921,0.16363407966175048
kNN: n_neighbours=15.00,kNN,15,"['Mean_price_paid', 'Year']",0.16594356361165108,561.7515568618601,638483.345257861,0.1659419831328589
